Company,Company Code,Company Type,FCC SITE ID,Lattitude,Longitude,Property Address,County,City,Land Owned or Leased,Lessor/Site Owner,Map,Group,Parcel,Height,Type
"AT & T Mobility, LLC",WC000025,WC,99,36.1310,-84.1588,Rhea Lane 288,Anderson,Outside,Leased,"Brooks, Steve R.",064,,017.00,185,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.7200,-84.0802,Walker Drive 1526,Blount,Outside,Leased,Walker Properties,066,,060.00,200,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.3991,-84.3092,Howard Baker Hwy 3311,Campbell,Outside,Leased,TWRA,105,,001.00,275,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.2658,-87.0619,Adkisson Street 106 ,Cheatham,Ashland City,Leased,"State Industries, Inc.",055K,A,002.00,080,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.4986,-83.5900,Anders Road 314,Claiborne,Outside,Leased,"Brooks, Bill M & Jean L.",069,,025.01,270,guyed
"AT & T Mobility, LLC",WC000025,WC,99,36.4420,-83.8899,Flat Hollow Church Rd 450,Claiborne,Outside,Leased,"Moon, Joan Berry",089,,054.00,270,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.5290,-83.6117,Highway 25E 3077(Billy Beeler Rd 357),Claiborne,Outside,Leased,"Beeler, Billy & Margaret",043,,041.00,270,guyed
"AT & T Mobility, LLC",WC000025,WC,99,36.3971,-83.7066,Honey Drive 269,Claiborne,Outside,Leased,"Neely, James C & Family Trust",116,,030.00,270,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.4045,-83.4949,Lower Cane Valley Road 146,Claiborne,Outside,Leased,"Hurst, Fred M.",120,,019.00,195,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.3551,-83.7197,Needham Hollow Road 303,Claiborne,Outside,Leased,"Smith, Isabella Marie",130,,016.00,270,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.4008,-83.6612,Rowe Lane 128,Claiborne,Outside,Leased,"Jessee, Billy M & Freda",117,,003.03,270,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.4387,-83.6311,Snodgrass Road 1241,Claiborne,Outside,Leased,"Watson, Coy E. & Sarah",094,,077.00,275,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.5404,-83.7242,Templin Lane 334,Claiborne,Outside,Leased,"Templin, John D. % Ray Templin",040,,014.00,270,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.4047,-83.4665,Ward Lane 168,Claiborne,Outside,Leased,"Epperson, Jerry & Carolyn",121,,017.00,270,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.8825,-83.2252,Doe Road 2495,Cocke,Outside,Leased,"Massey, Rae etux Karen",083,,045.06,250,guyed
