DFIRM_ID,Version_ID,FloodAreaID,StudyType,FloodZone,ZoneSubtype,SFHA_TF,SourceCitation,ZoneDescription,AdoptedDate,GlobalID,OBJECTID,Shape__Area,Shape__Length
47037C,1.1.1.0,47037C_51,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,d241dd72-ca4e-441e-9f12-f5cf3fcad240,1,996.812377929688,377.376742355509
47037C,1.1.1.0,47037C_52,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,f9642ed3-8972-4655-86b6-b856aac4af04,2,6505.27947998047,885.557566417828
47037C,1.1.1.0,47037C_53,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,13dedb3b-12d7-47e0-a189-abdbd80262a0,3,832.099304199219,410.643980887666
47037C,1.1.1.0,47037C_54,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,93f8427d-0789-40b7-849f-0e4136c80785,4,2611.19287109375,610.635468205936
47037C,1.1.1.0,47037C_55,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,7a6342db-e5f1-4b29-8538-82069966d03a,5,2768.80187988281,1041.34352092599
47037C,1.1.1.0,47037C_56,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,1134ab5e-d020-4acc-9327-4d2cc108c2db,6,22.1886596679688,21.3216408161874
47037C,1.1.1.0,47037C_57,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,1202b646-f561-43ca-9d4e-88f909835c18,7,9236.08111572266,1010.72798522373
47037C,1.1.1.0,47037C_58,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,44a35885-2acc-4d40-b891-9155ed8ee0a8,8,44.8993530273438,40.2137945104312
47037C,1.1.1.0,47037C_59,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,7daac701-fcec-4589-bfe9-d420248fb386,9,3219.91687011719,690.738558597004
47037C,1.1.1.0,47037C_60,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,5177ac08-f812-49f5-b888-cc5bec54a15b,10,1245.97698974609,358.344584238796
